Series Number,Filename,Name,Description,Gender,Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strength. Weakness,UUID,sha256Hash
30,femi-the-badguy,femi the badguy,femi is the biggest guy in lagos and he has served plenty babes breakfast,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",e493e3fb-a8a0-455a-854f-0f6474bbc69f,e037ce2699126d9deffe1ce3b2a46a19b132cd75832395f3aef89d040345483a
31,sinzu-money,sinzu money,sinzu loves spending money on flashy things,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",942f8347-9932-4331-bd15-d0f3a048b54f,d0165857a28e3650a1f0f41c69295722ceb05f41200987ce2a395f1115af56e8
32,obinna-the-palmwine tapper,obinna the palmwine tapper,obinna taps palmwine for a living,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",0f1af056-2548-4407-bed4-abc11deae05d,a2fa48cb6f49c042c82c4731a73f2912ebc18e9134145f4a381b9bf28fae92b9
33,aminu-maikudi,aminu maikudi,aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",0129e7a5-e3d0-4675-92d0-1a1e55d11612,6ae7c0ffee1b5c2248062d3cc073751b4542dd698517353bf2933f1808f321c5
34,sabinus-the-town crier,sabinus the town crier,sabinus delivers messages to his town people,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",01d4ce96-818e-44b1-8813-68a7d34b35ba,49661e71c9c3c3ec544cd4b027021e7ca149200a41a898601389cc60f9a9eabd
35,adisa-ibadan,adisa ibadan,"adisa the greatest man in the whole town of ibadan, is authority can never be questioned",male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",3a925f27-35f6-4dbf-9960-c6527fae5f3e,d13cc65e359b4fb49239e30541eae35432daaad28b25eb65b7b5ef736d10a3d8
36,linda-the-navigator,linda the navigator,linda knows how to make a way for herself and people around her,female,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",71f335a6-5a4f-4410-9cea-179336f0e498,68de7902afe1c3a9138e1ed1c9ad1de5676354b9486024eec66e30fa5f07bcb5
37,kemi-the-iron lady,kemi the iron lady,kemi the strongest woman known to the town of  igbede people,female,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",35b11a31-5b92-49f4-8fb1-30f255d22054,5780603f95774d4b33af902bab3b4723f5fac8c466b31d525d5ac6f5f2af6c8d
38,mercy-the-sassy lady,mercy the sassy lady,mercy only care about spending her father's money and treats people like trash,female,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,0bc42ec93c2118236d9cd912f5c380db9cbe3501e91dc873616182382365fc9b
39,sandra-money,sandra money,sandra likes getting and spending money,female,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, strength:activist weakness:controlling ",1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,16ce4fb4143e8d39a709dd1ca9277560b7d41f77e431680c9a945495abea98ad
40,bimpe-the-fashionista,bimpe the fashionista,bimpe loves wearing trendy clothes and looking gorgeous,female,"hair:blond,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression: shocked, s",92b548b7-998b-46b6-8198-80d407209483,e3880086b59e6753785dfbc66cd2769e804b0a8ae15a2bda6f80ba9a95869a90
TEAM ENGINE,,,,,,,
41,kim-rich-aunty,kim rich aunty,she loves spoiling her nieces and nephew,Female,"hair:brown,strength:hardworker,weakness:men,clothing :black and white,accessories:chain,expression:smilling",3344a73c-f15e-4afd-a1b2-3199e27eb08f,c5689bbd242b481ad14d949a3fadf6d8cd3c2c94931d425a7f07ed5cac46400f
42,barbra-vampire-bc,barbra vampire bc,she loves drinking the blood of her victims,Female,"hair:maroon,strength:empathetic,weakness:sleep,clothing :polka dots,accessories:earings,expression:sad",4f31fd99-4918-42a9-a112-fa60ef36d5c6,cb90e7157e1db3697b2c77741fca5c256783453937227edcf23c71e99cf35eb0
43,jean-art-dolger,jean art dolger,loves collecting art for charity ,Female,"hair:maroon,strength:strong,weakness:spiders",5e1105d9-e485-462d-a5bf-1eb931976b13,4529337b4e917da9d9f34a6fbdfa90ea102a017496473d5dadd565cdc5d9f9c4
44,flora-burger- eater,flora burger eater,she loves eating burgers,Female,"hair: red wig,strength:brave,weakness:coackroaches",054dffd1-cdff-417b-b6c2-a679dabd087b,613bc22d1913d8ea6d0f23bb392ed21690e362022c77fbabd49ee683ab0569c0
45,jessie-lord-rings,jessie lord rings,she seeks her 'precious',Female,"hair:ombre hairdo,strength:team player,weakness:love",caacabe1-0abc-43af-92e2-2231248bff93,81ea85fdb367ce4a0f6b4641de4529c32a2d7f65c58be9249c4ed1a0788f0a07
46,pinky-monky-ponk,pinky monky ponk,she love to dance the honky tonk,Female,"hair: black,strength:strong,weakness:cars",bd6a4b38-543e-40fa-9153-f7e1a947ebb1,19c4f9ecb4ca862867db3a9f4e49f133ce74d6e3d37f6df22cacb3f0eefcddbf
47,wanjiru-hippie-glitter,wanjiru hippie glitter,a hippie that loves her glitters,Female,"hair: burgury updo,strength:strong,weakness:alcohol",683f0d27-3cb4-4948-b1b5-09f10bee575a,645e3a5d2ef54fd19d2360c7846721e370e528aaec5c74f442409a31a34c6be5
48,njoki-binary-coder,njoki binary coder,she codes with the best and tops the set,Female,"hair:tight cornrows,strength:good listener,weakness:water",9b59bdb4-0c6c-4107-9d72-6d38d308edb4,6302d08be49064eda7f4ea13ddf4f7b7836579cfcd0490ad0b3f2719fd805f8c
49,wangu-calaba-hustler,wangu calaba hustler,she's a mean hustler so be careful,Female,"hair:ginger red,strength:tender,weakness:being agreeable",67f7da93-3925-4def-b660-58f558c14a19,bf60a18b2b79f4ccef17ffd83e76a3e731d97d2cc5b6165b1f16228ee810e136
50,lulu-dey-kpako,lulu dey kpako,she's as skinny as she is beautiful,Female,"hair:black,strength:brave,weakness:junk food",23b6c38f-ab84-4565-bfe9-d9eb019c9f29,e367eedf4c88c364316da7bf21a630f6f9d813331ef424feda7a6eae59428154
51,kiki-cala-flier,kiki cala flier,she flies first class and gets the best deals,Female,"hair:white,strength:strong,weakness:spiders",d24aefff-c9fc-4ea9-a7cf-1b741076c822,4c799866efe97b426d75218dff4d0628acb82a04d298830769023991f0870aa6
52,purity-nft -investor,purity nft investor,she is an angel investor looking for the next big thing,Female,"hair:pink braids,strength:strong,weakness:gossip",ee86ef77-4793-411a-88d3-ea54d84f6b24,b00ac0bdb7801bb5453b4b8ec15f6058ff634e23b2b16e452cf3a14fd752f594
53,june-binary-monk,june binary monk,she has a twin thats from Tibet ,Female,"hair:maroon,strength:goal oriented,weakness:spicy food",102c4cdb-f812-44fd-bf47-5065284c6075,99f6e3b73f6af8011696c594d1801fc391cf0c42f326df9b793bcb9e49bbf791
54,aisha-crows-damsel,aisha crows damsel,she is always a damsel in distress,Female,"hair:brown,strength:protective,weakness:clusterphobic",c4071af3-b49e-4ad6-898b-7828f90465fb,3eef87f361bce73c54c3e036a4548d6fcc1e587e6e3f55cedec683ed7348eb5c
55,bobo-crypto-lovely,bobo crypto lovely,she is a crpto guru you can trust all through,Female,"hair:bald,strength:kindness,weakness:workerholic",427ea0f5-30a3-4d70-a5bd-a6106409b83c,1dfed9d96310ce64fed4d9d0ba29915af848209ed2c4c930585323850d991a67
56,nell-light -embrace,nell light embrace,she is an empath; ready with a kind word or hug,Female,"hair:yellow cornrows,strength:supportive,weakness:controlling",9dfe30b4-c71a-471c-8091-f5c4a238eed8,17174af558462075598e364c3f6a0e77da345934db752c3365ebb5a0f194b347
57,rachel-mood-silent,rachel mood silent,"introvert  to the core, a mysterious lady",Female,"hair:maroon,strength:strong,weakness:height",11450acd-f0d7-406f-bc18-bdb680404845,1f6bce7f327cd8cdeb54de1a431d7f8a1396f25f238a4b4e9e036b3a07cdb1d0
58,nana-reflector-agent,nana reflector agent,she loves her chrome fashion stye,Female,"hair:blonde ties with a bow,strength: giving,weakness:money",63bda633-bfca-4b28-823f-7772936b4103,c1f7895ebf4fcc4473046099a827a31990ea895eb577bdae52f1322e728d0a04
59,bree-busy-gossip,bree busy gossip,"never wisper your secrets to her, except you want the world to know",Female,"hair:black,strength:level headed,weakness:shy around new people",4f5898d9-fc99-4053-a56c-b2ec1ef41347,fd6d366e8223387d458e18635ed3ae1cd4a823018695f9b86c517f153b2d7123
60,jude-shadow-fighter,jude shadow fighter,"a ninja warrior, the last samurai standing",Female,"hair:maroon,strength:strong,weakness:spiders",a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,b18659628bc190a3e25267d4c0a5b82282e22da2d6c895212ffa1862b37d1157
,,,,,,,
TEAM GRIT,,,,,,,
61,toy-soldier,toy soldier,a man stronger than an army,male,"hair: bald, strengths: powerful, weakness: sentimental",fc8ea3ac-59d1-11ed-9b6a-0242ac120002,65d1c73c5c0264edb98e792e02563aebf86b5e579ffa908252183f32cc2ce8a2
62,pipey-rivers,pipey rivers,a man who loves the water so much and fixes its path,male,"hair:bald, strengths: calculative, weakness: public speaking",58f69cae-59d1-11ed-9b6a-0242ac120002,351f39071c7043ddfc502b188c2481aa7aa4060d65707209713afb19e402d637
63,phiri-of-zambia,phiri of zambia,an african woman with strength and beauty,female,"hair: two purple bun, strengths: free spirit weakness: blind ",24b537fa-59d3-11ed-9b6a-0242ac120002,0d4435209997dd18f52245cc1c0ac0bd1644dc5400a87395125d025d0a12fcfc
64,patrick-of-bikinibottom,patrick of bikinibottom,a white man who loves the African culture and associates with their dressing,male,"hair: bald, strengths: adaptation, weakness: fluency",064c7b84-59d3-11ed-9b6a-0242ac120002,d42e702277402e15740e87639197c26bbffa83496fda679991e87cac71d92ce4
65,nobuhle-of-zulu,nobuhle of zulu,a woman well endowed with beauty,female,"hair: brown bun, strengths: cool headed, weakness: pressure",1ee5b1ce-59d3-11ed-9b6a-0242ac120002,ae87b8598ec574f4f84cf6fbaa761d7b41c148e579187725e3afa08c21217be1
66,nkosazana-of-xhosa,nkosazana of xhosa,an african princess always proud of her culture,female,"hair: ginger afro, strengths: confidence, weakness: endurance",2f1a1724-59d3-11ed-9b6a-0242ac120002,06f6a4fe626d62a41e0db795351118332646f56778b3f9731c53de17a8ac9b1a
67,mandla-of-zulu,mandla of zulu,a simple and an introvert who keeps to himself,male,"hair: bald, strength: strong willed, weakness: relationship",d04553b2-59d7-11ed-9b6a-0242ac120002,c1aab8d1f0fa3b7c0ac038398ea37a1a0f4af0a78d1193811645ffc79471c4e7
68,john-doe,john doe,a principled guy who is conscious of his health and ensures protection from infection,male,"hair: bald, strength: cleaniness, weakness: perfectionist",5d19795e-59d2-11ed-9b6a-0242ac120002,ffbaa03306536de5039f81b446f43d15af05f24a99e7369ae28cbe2a1d548c11
69,ghost-of-power,ghost of power,a woman stronger than ten men combined,female,"hair: black tied with scalf, strength: badass weakness: cancer",29c764ca-59d3-11ed-9b6a-0242ac120002,e54ba8dca21991eaf5ef7ca0e96c5b0088303bd592788528a78e67049dd892f5
70,freida,freida,a man who is always peaceful,male,"hair: bald, strength: peaceful weakness: anger",ee671c4a-59d2-11ed-9b6a-0242ac120002,14716e056737b8b2f8e93c24f1c99e4b1fb515ce2dfef47f3922dda2e5645e96
71,flamboyant-tree,flamboyant tree,beautiful african woman,female,"hair: one bun dark brown, strength: beauty, weakness: lover girl",380e4990-59d3-11ed-9b6a-0242ac120002,27d331be1372e331069fdf6fda473fe9dc184fe0648e729c0b3e43165acfc671
72,david-of-accra,david of accra,a combatant who fights and defends his people,male,"hair: bald, strength: super powerful, weakness: sleeping",1c1ef1b4-59d1-11ed-9b6a-0242ac120002,c20c07348ba038875a49d01c4c9a20c18646393f77a264aaf28f736c2ec87088
73,cally-lily,cally lily,a man who is a breath of fresh air,male,"hair: male, strength: calm weakness: sun",82bba87c-59d1-11ed-9b6a-0242ac120002,d93b566379c3f9f23d081c3765ab015e2a640e006225ac7f2645ad9ef9838dff
74,bubune-of-accra,bubune of accra,"a man with honor, always conscious of his health",male,"hair: bald, strength: clean weakness: foodie",faa4b530-59d2-11ed-9b6a-0242ac120002,40c810d440f41052a77ed1ba0820a0e195c5e98a75797980431f9d84ece571e6
75,bediako-of-accra,bediako of accra,a strong man always ready to fight for what is right,male,"hair: bald, strength: activist, weakness: irrational",fb6e8222-59d0-11ed-9b6a-0242ac120002,872094bd3911ea7c4f297638fae1281295fb23b3430cdac7750991a1657b186a
76,avatar-aang,avatar aang,a man who is ready to save the world,male,"hair: bald, strength: mind games, weakness: insomia",169f93a0-59d2-11ed-9b6a-0242ac120002,2bbe63df19adbb42185344a13922930ebe7b9e2057921dabfcb1f4e249b93b4f
77,argus-greek,argus greek,a man who you will always find on the look out ,male,"hair: bald, strength: strong , weakness: lateness",e7f26b26-59d2-11ed-9b6a-0242ac120002,71ae16dd19fc1853926e0cb29cf699bb22fd79b08287ddd266f2cdcd52427f83
78,amahle-of-zulu,amahle of zulu,"A traditional man, feeling fulfilled",male,"hair: bald, strength: conversationist, weakness: traditionalist",169f93a0-59d2-11ed-9b6a-0242ac120002,a4d38e26bb75379080b5afe929e0520fc40dfee17e0fb5694bd2152df65bb8bc
79,agnar-ole,agnar ole,a man who feels like an outcast and always has a battle with his mind,male,"hair: bald, strength: strong willed, weakness: crying",f3f11fd0-59d2-11ed-9b6a-0242ac120002,4ea6c81da0f65ecfa203b7f1cec3c24d8fedcdaa9a3655a8b65d12832570937d
80,adom-kulu,adom kulu,"a Ghanaian model, proud of his culture",male,"hair: bald, strength: height,  weakness: pride",00f6589e-59d3-11ed-9b6a-0242ac120002,5ce29e51e12f994bbf635d6afc10f0df9fbf20485487c87b422f66163eaefa0e
,,,,,,,
TEAM PRYBAR,,,,,,,
81,segun-baller,segun baller,a man who loves to party hard,,"Hair: Black Punk Hair, Eyes: Black Colour, Teeth: None, Clothing: Black shirt with white round neck and Ankara Jacket, Accessories: Green glasses with black frame, Expression: Cool , Strength: Jovial Weakness: Non-chalant. Extras: Has a beard and Tobacco pipe in mouth. ",58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,832109c71c1c5450e6a4b81186f78918c3b9df7a7ddc857acde138b561df6c11
82,bolanle-pepper-dem,bolanle pepper dem,a money spender,,"Hair: Bald, Eyes: Black Colour, Teeth: None, Clothing: Ankara shirt with a white round neck and black jacket, Accessories: Green glasses with a black frame, Expression: Proud, Strength: Always has resources at disposal,. Weakness: Tends to look down on others, Extras:Beard plus Tobacco pipe in mouth.",46966104-775b-4443-90bb-b35afd121653,229dfe64cfd68acf5c03e904fbb331452e83310436bcc19b79522dde441185ad
83,tayo-tailor,tayo tailor,"a professional fashion designer, in quote",,,70828783-ac38-48cf-b966-cfebc92ebd86,c6505e680ad23e5929b114a1535a2016209237363a276b3145b2d5f986201d59
84,ajasco-comedian,ajasco comedian,he thinks he's funny but he's not,,,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,95b6bebb3ef092df325569e492b2eb0e18cf15eb4e4c7dac5c628d11704e6348
85,tobi-babyboy,tobi babyboy,he's currently in his babyboy era,,,3da592d4-5dec-4bc5-8412-f1b2a0269f95,1548d1c26e0bd9a2982e2b888a0421d1fc41c7629539fbd38258c25ebd4e3213
86,esther-sassy,esther sassy,her motto is everybody must collect,,,0642a25a-966d-446f-b021-a6d18e7fa0c5,e4308061f6cc588e84beedf45704c429561d3366b7071fa2d4a00ca3f758c5fa
87,ozo-fineboi,ozo fineboi,he's currently in his babyboy era,,,fdb0a5b6-7367-48bb-bd6b-720ec8c15226,018db386eea5e56635036493bf77caad52424258c413ae1974980c1ec67a080e
88,ade-party-girl,ade party girl,the life of every party,,,7e3db30c-9faf-430d-ab48-b854fe0456b9,b7c3a3c75a7944787c184f031eed44491ce339ecf7efac6368aa9fdd641c5091
89,john-casco,john casco,silent killer,,,2eff88ef-5bc2-4779-917a-533e952e2953,666910bf9978ae558ea3f54d98448603f999bb31133350102eb500e9ba0572ae
90,agha-uwa,agha uwa,"senior man, may back flips",,,8478a002-1eba-4a05-8b98-7170c6e39254,2a6624cf516de40d4c4ed4ff78d820fcb8159cc66d189b7e6eb6251c6103ce38
91,udeme-great,udeme great,an alcoholic,,,d1476409-6f8b-4be9-8c93-24d9123749c5,2e5f4f0e5e2c57b32c60445b7ddd5671c24a0f1ef1fbe5b081fc6b3a73839d01
92,femi-tech-bro,femi tech bro,"broke tech bro actually, no money",,,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,bbbfec51fc41e75744ea2a242eff592aa123d54a301e538c0afa2fd34259b24f
93,sai-baba,sai baba,bts leader of 3rd world,,,fdfff369-5b57-4612-9f89-f5d408f24a35,b9ce63d0720cb0c5b255cb9cc2c99484213e141aec31fdccec121018d83fdb7b
94,omo-pastor,omo pastor,a woman with the morals of a man,,,49e09559-61a6-41ff-811a-272721a7475c,9567203059cb38ac66b8813d1ba8cfd2777471036da1d8432ef9a558919f6057
95,obi-container,obi container,a rich man from the east,,,4b64cf48-94fa-4aed-8cf2-452974b48ee3,a16d3f8868944f13f351290af596cbc9238e8b2e33b9027915885eb450cdc54e
96,erigga-international,erigga international,Super star from south-south,,,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,85de315d76c1a509387af560b0bd5bbff7cc6f16117d84f7fa20ca8951213a56
97,ayo-web3-bro,ayo web3 bro,no actual knowledge of basic computer principles,,,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,6474ff33b1d1ba67c0edc3cd3d23f7e7a093993c4263ff84002e3fbe95618838
98,phoebe-queen-bee,phoebe queen bee,"a self-centered woman, only thinks about herself",,,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,368efdf721da1528e0efa7e2e81401e8caec47064e9fb82a9fbf022ff0d23998
99,rachel-warri-babe,rachel warri babe,a woman who doesn't take nonsense,,,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,c757fad3b0c46b751eb94b701a3152e1241ef9092f373b9ca823829d0c1881cc
100,adun-preacher,adun preacher,a woman who preaches in buses,,,cc4dfedf-c343-48db-ad67-e39452ec2380,0d35e83ea70606a57ee47cecaab420b483eb9eaf247900ce022eebcbeeda059d
,,,,,,,
TEAM CHISEL,,,,,,,
101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth,female,"hair: brown, strength: bold, weakness: big teeths,",fbf43611-f267-4cba-bf4b-a3ffdc122589,0898f6351a3dbb36cf8efb9d80316579d7e5e81458c450232aee2b1c046faf20
102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party,female,"hair: black hair covered partly with scarf, strength: sawag, weakness: jealousy",e7c32b06-7022-49b4-bbe5-81e8c1d58583,d486b1ac287f9380ecdb5746883231837d34c490347f1edea63654226bcbe7ce
103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family,male,"hair: bald, strength: strong man, weakness: women",e57d8985-599e-49da-8d62-fc16b7ac93f2,5d1dc88ca76daf597da49feec0590bdf248bbd7af81b3761d541575ea57d3ca2
104,farida-the-tivlady,farida the tivlady,Farada is a traditional TIv woman,female,"hair: brown packed hair, strength: outspoken, weakness: over makeup",31d3e229-003e-43c8-ba82-38f49cf58ccb,c10b12beb9ff79f644198d8da650a937c7d0217dfc0d358b2cbab251d0bb20c8
